"URL","Locale","Locale Name","Title","Title Length","HTML Lang","Status","Error"
"https://www.aiseoturbo.com","en","English","AI SEO Audit Tool - Boost Rankings Faster | AI SEO Turbo","56","en","OK",""
"https://www.aiseoturbo.com/fr","fr","Français","Outil d'Audit SEO IA - Boostez vos Complete | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/de","de","Deutsch","KI-SEO-Audit-Tool - Steigern Sie Rankings - | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/es","es","Español","Herramienta Auditoría SEO IA - Mejora | AI SEO Turbo","52","en","OK",""
"https://www.aiseoturbo.com/it","it","Italiano","Strumento Audit SEO IA - Migliora Ranking - | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/id","id","Bahasa Indonesia","Alat Audit SEO AI - Tingkatkan Ranking - | AI SEO Turbo","55","en","OK",""
"https://www.aiseoturbo.com/pricing","en","English","SEO Audit Pricing - Plans From $29/month | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/fr/pricing","fr","Français","Tarifs SEO Audit - Plans Dès 29$/mois - | AI SEO Turbo","54","en","OK",""
"https://www.aiseoturbo.com/de/pricing","de","Deutsch","SEO Audit Preise - Ab 29$/Monat - Complete | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/es/pricing","es","Español","Precios Auditoría SEO - Desde 29$/mes - | AI SEO Turbo","54","en","OK",""
"https://www.aiseoturbo.com/it/pricing","it","Italiano","Prezzi Audit SEO - Piani Da 29$/mese - | AI SEO Turbo","53","en","OK",""
"https://www.aiseoturbo.com/id/pricing","id","Bahasa Indonesia","Harga Audit SEO - Dari 29$/bulan - Indonesia | AI SEO Turbo","59","en","OK",""
"https://www.aiseoturbo.com/features","en","English","SEO Features - Complete Audit & Analysis | AI SEO Turbo","55","en","OK",""
"https://www.aiseoturbo.com/fr/features","fr","Français","Fonctionnalités SEO - Audit Complet - France | AI SEO Turbo","59","en","OK",""
"https://www.aiseoturbo.com/de/features","de","Deutsch","SEO Funktionen - Vollständige Audit - | AI SEO Turbo","52","en","OK",""
"https://www.aiseoturbo.com/es/features","es","Español","Características SEO - Auditoría Completa - | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/it/features","it","Italiano","Funzionalità SEO - Audit Completo - Italia | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/id/features","id","Bahasa Indonesia","Fitur SEO - Audit Lengkap - Indonesia | AI SEO Turbo","52","en","OK",""
"https://www.aiseoturbo.com/fr/features/seo-audit","fr","Français","Outil d'Audit SEO - Analyse Site - France | AI SEO Turbo","56","en","OK",""
"https://www.aiseoturbo.com/de/features/seo-audit","de","Deutsch","SEO Audit Tool - Website-Analyse - Complete | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/es/features/seo-audit","es","Español","Herramienta Auditoría SEO - Análisis Sitio - | AI SEO Turbo","59","en","OK",""
"https://www.aiseoturbo.com/it/features/seo-audit","it","Italiano","Strumento Audit SEO - Analisi Sito - Italia | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/id/features/seo-audit","id","Bahasa Indonesia","Alat Audit SEO - Analisis Website - | AI SEO Turbo","50","en","OK",""
"https://www.aiseoturbo.com/fr/features/site-crawler","fr","Français","Crawleur de Site - Analyse Technique - | AI SEO Turbo","53","en","OK",""
"https://www.aiseoturbo.com/de/features/site-crawler","de","Deutsch","Site Crawler - Technische SEO-Analyse - | AI SEO Turbo","54","en","OK",""
"https://www.aiseoturbo.com/es/features/site-crawler","es","Español","Rastreador de Sitio - Análisis Técnico - | AI SEO Turbo","55","en","OK",""
"https://www.aiseoturbo.com/it/features/site-crawler","it","Italiano","Crawler del Sito - Analisi Tecnica - Italia | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/id/features/site-crawler","id","Bahasa Indonesia","Site Crawler - Analisis Teknis - Indonesia | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/fr/features/keyword-tracking","fr","Français","Suivi Mots-Clés - Surveillez Rankings - | AI SEO Turbo","54","en","OK",""
"https://www.aiseoturbo.com/de/features/keyword-tracking","de","Deutsch","Keyword Tracking - Rankings Überwachen - | AI SEO Turbo","55","en","OK",""
"https://www.aiseoturbo.com/es/features/keyword-tracking","es","Español","Seguimiento Palabras Clave - Monitorea | AI SEO Turbo","53","en","OK","(wait"
"https://www.aiseoturbo.com/it/features/keyword-tracking","it","Italiano","Monitoraggio Keywords - Monitora Ranking - | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/id/features/keyword-tracking","id","Bahasa Indonesia","Pelacakan Kata Kunci - Pantau Ranking - | AI SEO Turbo","54","en","OK",""
"https://www.aiseoturbo.com/fr/features/competitor-analysis","fr","Français","Analyse Concurrentielle SEO - Intelligence - | AI SEO Turbo","59","en","OK",""
"https://www.aiseoturbo.com/de/features/competitor-analysis","de","Deutsch","Konkurrenzanalyse SEO - Intelligence - | AI SEO Turbo","53","en","OK",""
"https://www.aiseoturbo.com/es/features/competitor-analysis","es","Español","Análisis Competidores SEO - Inteligencia - | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/it/features/competitor-analysis","it","Italiano","Analisi Competitor SEO - Intelligence - | AI SEO Turbo","54","en","OK",""
"https://www.aiseoturbo.com/id/features/competitor-analysis","id","Bahasa Indonesia","Analisis Kompetitor SEO - Intelligence - | AI SEO Turbo","55","en","OK",""
"https://www.aiseoturbo.com/fr/features/ai-assistant","fr","Français","Assistant IA SEO - Recommandations - France | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/de/features/ai-assistant","de","Deutsch","KI-Assistent SEO - Empfehlungen - Complete | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/es/features/ai-assistant","es","Español","Asistente IA SEO - Recomendaciones - España | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/it/features/ai-assistant","it","Italiano","Assistente IA SEO - Raccomandazioni - Italia | AI SEO Turbo","59","en","OK",""
"https://www.aiseoturbo.com/id/features/ai-assistant","id","Bahasa Indonesia","Asisten AI SEO - Rekomendasi - Indonesia | AI SEO Turbo","55","en","OK",""
"https://www.aiseoturbo.com/fr/about","fr","Français","À Propos AI SEO Turbo - Équipe Experte - | AI SEO Turbo","55","en","OK",""
"https://www.aiseoturbo.com/de/about","de","Deutsch","Über AI SEO Turbo - Experten Team - | AI SEO Turbo","50","en","OK",""
"https://www.aiseoturbo.com/es/about","es","Español","Acerca AI SEO Turbo - Equipo Experto - | AI SEO Turbo","53","en","OK",""
"https://www.aiseoturbo.com/it/about","it","Italiano","Chi Siamo AI SEO Turbo - Team Esperto - | AI SEO Turbo","54","en","OK",""
"https://www.aiseoturbo.com/id/about","id","Bahasa Indonesia","Tentang AI SEO Turbo - Tim Ahli - Indonesia | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/fr/contact","fr","Français","Contact AI SEO Turbo - Support Expert - | AI SEO Turbo","54","en","OK",""
"https://www.aiseoturbo.com/de/contact","de","Deutsch","Kontakt AI SEO Turbo - Experten Support - | AI SEO Turbo","56","en","OK",""
"https://www.aiseoturbo.com/es/contact","es","Español","Contacto AI SEO Turbo - Soporte Experto - | AI SEO Turbo","56","en","OK",""
"https://www.aiseoturbo.com/it/contact","it","Italiano","Contatto AI SEO Turbo - Supporto Esperto - | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/id/contact","id","Bahasa Indonesia","Kontak AI SEO Turbo - Dukungan Ahli - | AI SEO Turbo","52","en","OK",""
"https://www.aiseoturbo.com/blog","en","English","SEO Blog - Tips & Strategies | AI SEO Turbo","45","en","OK",""
"https://www.aiseoturbo.com/fr/blog","fr","Français","Blog SEO - Conseils & Stratégies - France | AI SEO Turbo","56","en","OK",""
"https://www.aiseoturbo.com/de/blog","de","Deutsch","SEO Blog - Tipps & Strategien - Deutschland | AI SEO Turbo","58","en","OK",""
"https://www.aiseoturbo.com/es/blog","es","Español","Blog SEO - Consejos & Estrategias - España | AI SEO Turbo","57","en","OK",""
"https://www.aiseoturbo.com/it/blog","it","Italiano","Blog SEO - Consigli & Strategie - Italia | AI SEO Turbo","55","en","OK",""
"https://www.aiseoturbo.com/id/blog","id","Bahasa Indonesia","Blog SEO - Tips & Strategi - Indonesia | AI SEO Turbo","53","en","OK",""
"https://www.aiseoturbo.com/fr/blog/ai-powered-seo-future","fr","Français","SEO Alimenté par IA - L'Avenir - France | AI SEO Turbo Blog","59","en","OK",""
"https://www.aiseoturbo.com/de/blog/ai-powered-seo-future","de","Deutsch","KI-gestützte SEO - Die Zukunft - | AI SEO Turbo Blog","52","en","OK",""
"https://www.aiseoturbo.com/es/blog/ai-powered-seo-future","es","Español","SEO Potenciado por IA - El Futuro - | AI SEO Turbo Blog","55","en","OK",""
"https://www.aiseoturbo.com/it/blog/ai-powered-seo-future","it","Italiano","SEO Potenziato IA - Il Futuro - Italia | AI SEO Turbo Blog","58","en","OK",""
"https://www.aiseoturbo.com/id/blog/ai-powered-seo-future","id","Bahasa Indonesia","SEO Bertenaga AI - Masa Depan - | AI SEO Turbo Blog","51","en","OK",""
"https://www.aiseoturbo.com/fr/blog/complete-seo-audit-checklist-2025","fr","Français","Checklist Audit SEO Complet 2025 - | AI SEO Turbo Blog","54","en","OK",""
"https://www.aiseoturbo.com/de/blog/complete-seo-audit-checklist-2025","de","Deutsch","Vollständige SEO Audit Checkliste 2025 | AI SEO Turbo Blog","58","en","OK","(over"
"https://www.aiseoturbo.com/es/blog/complete-seo-audit-checklist-2025","es","Español","Lista de Verificaciónación Auditoría SEO 2025 - | AI SEO Turbo Blog","59","en","OK",""
"https://www.aiseoturbo.com/it/blog/complete-seo-audit-checklist-2025","it","Italiano","Elenco Audit SEO Completo 2025 - Italia | AI SEO Turbo Blog","59","en","OK",""
"https://www.aiseoturbo.com/id/blog/complete-seo-audit-checklist-2025","id","Bahasa Indonesia","Checklist Audit SEO Lengkap 2025 - | AI SEO Turbo Blog","54","en","OK",""
"https://www.aiseoturbo.com/fr/blog/content-seo-creating-search-friendly-content","fr","Français","SEO Contenu - Créer Contenu Optimisé - | AI SEO Turbo Blog","58","en","OK",""
"https://www.aiseoturbo.com/de/blog/content-seo-creating-search-friendly-content","de","Deutsch","Content SEO - Suchmaschinenfreundlich - | AI SEO Turbo Blog","59","en","OK",""
"https://www.aiseoturbo.com/es/blog/content-seo-creating-search-friendly-content","es","Español","SEO Contenido - Crear Contenido | AI SEO Turbo Blog","51","en","OK",""
"https://www.aiseoturbo.com/it/blog/content-seo-creating-search-friendly-content","it","Italiano","SEO Contenuti - Creare Contenuti | AI SEO Turbo Blog","52","en","OK",""
"https://www.aiseoturbo.com/id/blog/content-seo-creating-search-friendly-content","id","Bahasa Indonesia","SEO Konten - Buat Konten Ramah Cari - | AI SEO Turbo Blog","57","en","OK",""
"https://www.aiseoturbo.com/fr/blog/core-web-vitals-optimization-guide","fr","Français","Guide Optimisation Core Web Vitals - | AI SEO Turbo Blog","56","en","OK",""
"https://www.aiseoturbo.com/de/blog/core-web-vitals-optimization-guide","de","Deutsch","Core Web Vitals Optimierung Guide - | AI SEO Turbo Blog","55","en","OK",""
"https://www.aiseoturbo.com/es/blog/core-web-vitals-optimization-guide","es","Español","Guía Optimización Core Web Vitals - | AI SEO Turbo Blog","55","en","OK",""
"https://www.aiseoturbo.com/it/blog/core-web-vitals-optimization-guide","it","Italiano","Guida Ottimizzazione Core Web Vitals - | AI SEO Turbo Blog","58","en","OK",""
"https://www.aiseoturbo.com/id/blog/core-web-vitals-optimization-guide","id","Bahasa Indonesia","Panduan Optimasi Core Web Vitals - | AI SEO Turbo Blog","54","en","OK",""
"https://www.aiseoturbo.com/fr/blog/local-seo-strategies-that-work","fr","Français","Stratégies SEO Locales Efficaces - | AI SEO Turbo Blog","54","en","OK",""
"https://www.aiseoturbo.com/de/blog/local-seo-strategies-that-work","de","Deutsch","Lokale SEO Strategien die Complete | AI SEO Turbo Blog","54","en","OK",""
"https://www.aiseoturbo.com/es/blog/local-seo-strategies-that-work","es","Español","Estrategias SEO Locales que Funcionan - | AI SEO Turbo Blog","59","en","OK",""
"https://www.aiseoturbo.com/it/blog/local-seo-strategies-that-work","it","Italiano","Strategie SEO Locali che Funzionano - | AI SEO Turbo Blog","57","en","OK",""
